,age,Gender_Male,Gender_Female,Gender_None,Purchase_Categories_Beauty_and_Personal_Care,Purchase_Categories_Clothing_and_Fashion,Purchase_Categories_Groceries_and_Gourmet_Food,Purchase_Categories_Home_and_Kitchen,Purchase_Frequency,Browsing_Frequency,Personalized_Recommendation_Frequency_Purchase,Personalized_Recommendation_Frequency,Recommendation_Helpfulness,Shopping_Satisfaction,Improvement_Areas
111,25,0,1,0,0,1,0,0,1,1,2,4,2,3,Shipping speed and reliability
112,26,1,0,0,0,1,0,0,3,3,1,3,1,3,Reducing packaging waste
113,29,1,0,0,0,0,0,0,1,1,1,3,2,4,Product quality and accuracy
114,23,0,1,0,1,1,0,1,2,2,3,2,3,4,Reducing packaging waste
115,30,1,0,0,0,1,0,1,5,3,3,1,3,2,Customer service responsiveness
116,23,0,1,0,1,0,0,1,1,4,1,3,2,3,Customer service responsiveness
117,21,0,1,0,0,1,0,0,1,1,1,4,2,3,Reducing packaging waste
118,23,0,1,0,1,0,0,1,2,3,1,3,3,2,Product quality and accuracy
119,21,0,1,0,0,1,0,0,2,3,2,3,2,3,Customer service responsiveness
120,23,0,1,0,0,1,0,0,1,2,1,2,2,1,Shipping speed and reliability
121,27,1,0,0,0,0,0,0,2,2,2,3,2,1,Product quality and accuracy
122,38,0,1,0,1,0,0,1,2,2,1,4,2,2,Product quality and accuracy
123,23,0,1,0,1,1,0,0,1,1,1,3,1,2,Product quality and accuracy
124,38,0,1,0,1,1,0,1,1,2,1,4,1,2,Shipping speed and reliability
125,23,1,0,0,0,0,0,0,3,3,1,2,3,3,Reducing packaging waste
126,24,1,0,0,0,1,0,0,4,3,1,3,1,2,Customer service responsiveness
127,25,0,1,0,1,1,1,1,4,3,3,2,3,2,Customer service responsiveness
128,26,1,0,0,1,1,1,1,1,3,3,1,3,1,Customer service responsiveness
129,27,1,0,0,1,1,0,1,4,2,1,3,1,2,Product quality and accuracy
130,29,0,0,1,1,0,0,0,4,3,3,3,1,1,Customer service responsiveness
131,35,0,0,1,1,1,0,1,3,2,1,4,1,2,Reducing packaging waste
132,21,0,1,0,1,1,0,0,2,3,3,1,2,1,Product quality and accuracy
133,36,1,0,0,1,0,0,1,3,2,1,2,3,3,Customer service responsiveness
134,44,0,1,0,1,0,0,0,3,4,1,2,1,2,Customer service responsiveness
135,32,0,1,0,1,1,1,1,4,4,3,1,3,1,Customer service responsiveness
136,30,1,0,0,1,0,1,1,3,2,1,4,1,2,Product quality and accuracy
137,36,0,0,1,0,0,0,0,1,1,2,5,2,5,Shipping speed and reliability
138,25,1,0,0,1,1,1,1,1,1,1,1,3,1,Customer service responsiveness
139,20,0,1,0,1,1,1,1,5,4,3,4,3,1,Product quality and accuracy
140,35,0,1,0,1,0,0,0,4,2,1,2,2,3,Product quality and accuracy
141,42,1,0,0,0,0,1,1,1,2,3,1,3,1,Product quality and accuracy
142,37,0,1,0,1,1,1,1,3,2,1,2,1,1,Reducing packaging waste
143,28,0,1,0,1,1,0,0,5,4,3,3,2,1,Customer service responsiveness
144,27,1,0,0,1,0,0,1,4,3,1,3,1,2,Customer service responsiveness
145,45,0,1,0,1,1,1,1,4,4,1,2,1,2,Product quality and accuracy
146,35,1,0,0,0,1,1,1,1,1,3,1,3,1,Shipping speed and reliability
147,50,0,1,0,1,1,0,1,5,3,1,2,1,2,Reducing packaging waste
148,54,0,1,0,1,0,0,0,3,3,1,2,1,2,Reducing packaging waste
149,29,0,1,0,1,1,1,1,5,4,3,1,2,1,Product quality and accuracy
150,63,1,0,0,0,0,1,1,1,1,1,2,2,2,Customer service responsiveness
151,24,1,0,0,1,1,0,0,3,3,2,2,2,1,Product quality and accuracy
152,23,0,1,0,1,0,0,0,1,1,1,1,3,1,Shipping speed and reliability
153,26,0,1,0,1,1,0,0,3,3,3,5,3,1,Product quality and accuracy
154,29,1,0,0,1,1,0,0,5,4,1,3,3,1,Shipping speed and reliability
155,46,0,0,1,1,1,0,0,3,2,1,2,3,2,Reducing packaging waste
156,24,1,0,0,0,0,0,0,1,2,1,3,3,5,Nil
157,33,0,1,0,1,0,1,0,3,3,1,2,1,2,Reducing packaging waste
158,33,0,1,0,1,0,0,0,4,3,1,2,3,1,Shipping speed and reliability
159,31,0,0,1,0,1,0,0,2,2,1,3,1,4,Shipping speed and reliability
160,40,0,0,1,0,1,0,1,3,4,2,1,3,2,Reducing packaging waste
161,37,1,0,0,1,1,0,0,4,2,1,2,1,4,Customer service responsiveness
162,25,0,0,1,1,0,0,0,3,1,1,2,1,2,Product quality and accuracy
163,60,0,1,0,1,1,0,0,4,4,3,2,1,3,Customer service responsiveness
164,18,0,1,0,1,0,1,0,4,2,1,4,1,4,Reducing packaging waste
165,50,1,0,0,0,1,0,1,1,3,1,4,1,4,Shipping speed and reliability
166,24,0,0,1,1,1,0,1,3,2,2,3,1,3,Product quality and accuracy
167,19,0,1,0,1,1,0,0,3,2,1,2,1,2,Customer service responsiveness
168,18,0,1,0,1,1,0,0,2,1,1,1,1,1,Product quality and accuracy
169,17,1,0,0,1,1,1,0,3,3,1,2,1,2,Customer service responsiveness
170,27,0,1,0,1,0,0,0,2,3,1,3,2,2,Shipping speed and reliability
171,23,1,0,0,1,0,0,1,1,1,1,5,1,2,Product quality and accuracy
172,35,0,1,0,1,0,0,0,3,2,1,2,1,2,Reducing packaging waste
173,57,0,1,0,1,1,1,1,3,3,1,3,2,1,Reducing packaging waste
174,54,1,0,0,0,1,1,1,3,3,1,3,1,2,Product quality and accuracy
175,26,0,0,1,1,0,0,0,2,2,1,2,1,2,Shipping speed and reliability
176,46,1,0,0,1,0,0,0,4,1,2,2,1,2,Customer service responsiveness
177,26,0,1,0,1,1,1,1,5,3,2,3,2,2,Add more familiar brands to the list
178,24,1,0,0,0,0,0,0,2,2,1,1,3,2,Shipping speed and reliability
179,26,0,1,0,1,1,1,0,2,3,1,2,3,1,Shipping speed and reliability
180,27,1,0,0,0,1,0,0,2,2,1,3,3,2,Shipping speed and reliability
181,22,0,1,0,1,0,0,0,3,4,3,1,2,3,Customer service responsiveness
182,24,1,0,0,1,0,0,0,3,3,3,3,3,3,Customer service responsiveness
183,25,1,0,0,1,0,0,0,5,3,1,2,1,3,Reducing packaging waste
184,22,0,0,1,1,0,0,0,2,3,3,3,2,3,Customer service responsiveness
185,27,1,0,0,0,0,0,0,2,2,1,3,3,1,Shipping speed and reliability
186,23,0,1,0,0,1,0,1,1,2,1,2,3,2,Shipping speed and reliability
187,24,1,0,0,0,1,0,0,1,2,1,3,3,3,Product quality and accuracy
188,24,0,1,0,1,0,0,0,1,1,1,3,1,3,Product quality and accuracy
189,23,0,1,0,0,1,0,0,3,2,1,4,3,4,Product quality and accuracy
190,23,1,0,0,0,1,0,0,2,2,1,3,1,3,UI
191,25,0,1,0,0,0,1,0,4,4,3,3,3,3,Reducing packaging waste
192,21,1,0,0,0,0,1,0,4,3,1,3,1,3,Customer service responsiveness
193,36,0,1,0,0,0,1,0,3,2,1,3,2,4,Customer service responsiveness
194,23,0,1,0,1,0,0,0,5,3,3,3,2,3,Customer service responsiveness
195,23,0,1,0,0,1,0,0,3,2,2,3,1,3,Customer service responsiveness
196,23,0,0,1,0,1,0,0,4,2,3,3,1,3,Customer service responsiveness
197,21,0,1,0,1,0,0,0,4,3,3,3,1,3,Customer service responsiveness
198,23,0,0,1,0,1,0,0,4,2,3,3,2,3,Product quality and accuracy
199,26,0,0,1,1,0,0,0,3,3,3,3,1,3,Product quality and accuracy
200,30,0,1,0,1,0,0,0,3,3,3,3,2,3,Customer service responsiveness
201,37,0,1,0,0,1,0,0,2,2,2,4,2,3,Product quality and accuracy
202,26,0,1,0,1,0,0,0,2,3,3,2,3,3,Shipping speed and reliability
203,46,0,1,0,0,0,0,0,2,1,2,1,3,1,Shipping speed and reliability
204,36,0,1,0,0,0,0,0,1,1,1,4,3,4,Product quality and accuracy
205,40,0,1,0,0,0,0,1,1,1,2,3,3,2,Customer service responsiveness
206,41,1,0,0,0,1,0,0,1,2,2,5,3,3,Shipping speed and reliability
207,34,1,0,0,0,0,0,0,1,1,1,4,1,2,Scrolling option would be much better than going to next page
208,29,0,1,0,1,1,0,1,2,4,1,5,1,3,Product quality and accuracy
209,35,1,0,0,0,1,0,0,2,3,2,2,3,3,Product quality and accuracy
210,32,1,0,0,0,1,0,0,1,1,1,3,3,3,Reducing packaging waste
211,41,1,0,0,1,1,0,0,3,3,2,1,3,2,Product quality and accuracy
212,35,0,1,0,0,0,0,1,3,4,3,2,3,2,Product quality and accuracy
213,36,0,1,0,0,0,1,1,3,3,3,3,3,1,Reducing packaging waste
214,46,0,1,0,0,0,0,0,4,3,1,5,2,4,Customer service responsiveness
215,39,0,1,0,0,0,0,1,3,3,2,1,2,3,Customer service responsiveness
216,48,1,0,0,1,0,0,0,3,3,3,2,3,1,Customer service responsiveness
217,25,1,0,0,0,0,0,0,3,3,1,3,3,4,Customer service responsiveness
218,38,1,0,0,1,1,0,1,2,3,3,3,2,3,Quality of product is very poor according to the big offers
219,26,1,0,0,1,1,0,1,2,3,3,1,3,3,Product quality and accuracy
220,40,0,1,0,1,0,0,0,1,3,1,3,1,3,Product quality and accuracy
221,49,0,1,0,0,0,1,1,3,4,2,3,3,2,I have no problem with Amazon yet. But others tell me about the refund issues 
222,30,1,0,0,0,1,0,0,1,3,3,3,3,1,Product quality and accuracy
223,24,0,1,0,0,1,0,0,1,1,1,2,2,2,Customer service responsiveness
224,23,0,1,0,1,0,0,1,2,3,3,2,3,1,Shipping speed and reliability
225,27,1,0,0,0,1,0,0,2,2,2,3,3,4,Product quality and accuracy
226,28,1,0,0,0,0,0,0,1,1,1,5,3,2,Product quality and accuracy
227,23,1,0,0,0,0,0,0,1,3,1,2,2,2,Product quality and accuracy
228,46,0,1,0,0,0,0,1,3,3,3,1,3,2,Product quality and accuracy
229,27,1,0,0,0,0,0,0,1,1,2,3,2,3,Customer service responsiveness
230,20,0,1,0,0,0,0,1,2,1,1,3,2,3,Product quality and accuracy
231,23,0,1,0,1,1,0,0,1,2,1,4,3,4,Shipping speed and reliability
232,29,0,1,0,1,1,1,1,4,4,3,2,2,2,Customer service responsiveness
233,29,0,1,0,0,1,0,0,1,2,3,1,3,3,Product quality and accuracy
234,57,0,1,0,0,0,0,1,3,3,1,4,3,3,Customer service responsiveness
235,25,0,1,0,1,0,0,0,1,3,1,4,3,1,Customer service responsiveness
236,23,0,1,0,1,0,0,0,3,2,1,1,2,2,Product quality and accuracy
237,15,1,0,0,0,1,0,0,2,3,1,3,2,2,Product quality and accuracy
238,39,1,0,0,0,1,0,0,1,2,3,3,2,2,Product quality and accuracy
239,23,0,1,0,1,1,0,0,2,2,1,3,2,3,Reducing packaging waste
240,25,0,1,0,1,0,0,0,1,3,1,3,3,3,Shipping speed and reliability
241,37,0,1,0,1,1,1,1,5,3,2,2,2,2,Reducing packaging waste
242,23,0,1,0,1,0,0,1,3,2,1,3,1,2,Reducing packaging waste
243,23,0,1,0,0,1,0,1,3,3,1,3,1,3,Reducing packaging waste
244,23,0,1,0,0,1,0,1,2,2,2,3,1,3,Reducing packaging waste
245,23,0,1,0,1,0,0,0,4,2,1,3,1,2,Customer service responsiveness
246,21,0,1,0,0,1,0,1,2,2,1,2,1,4,Customer service responsiveness
247,21,0,1,0,0,1,0,0,4,3,1,4,3,1,Customer service responsiveness
248,34,0,1,0,1,0,0,0,4,3,1,2,1,2,Customer service responsiveness
249,23,0,1,0,0,1,0,1,3,3,1,3,1,1,Customer service responsiveness
250,23,0,1,0,1,0,0,0,4,2,1,3,1,2,Reducing packaging waste
251,23,0,0,1,0,1,0,0,3,2,1,3,1,1,Customer service responsiveness
252,27,0,1,0,1,0,0,0,4,2,1,3,1,1,Customer service responsiveness
253,23,0,1,0,0,0,0,0,1,1,1,3,2,2,Product quality and accuracy
254,47,0,1,0,0,1,0,0,1,1,1,5,2,2,Product quality and accuracy
255,54,1,0,0,0,0,0,0,1,1,1,1,3,3,Product quality and accuracy
256,46,0,0,1,1,0,0,1,4,2,1,3,1,3,Reducing packaging waste
257,38,0,1,0,0,0,0,0,2,3,1,3,1,3,Customer service responsiveness
258,45,0,1,0,0,0,1,1,3,3,2,1,1,2,Reducing packaging waste
259,34,1,0,0,0,1,0,0,4,3,3,4,1,2,Reducing packaging waste
260,44,0,1,0,0,1,0,0,4,2,2,5,2,3,Customer service responsiveness
261,23,0,1,0,0,1,0,1,3,2,2,2,1,3,Customer service responsiveness
262,32,0,1,0,1,0,0,0,4,3,3,4,1,5,Customer service responsiveness
263,23,0,1,0,1,0,0,0,4,4,3,2,1,3,Product quality and accuracy
264,23,0,1,0,0,1,0,0,3,3,1,2,1,2,Customer service responsiveness
265,23,1,0,0,0,1,1,1,4,3,1,1,3,1,Product quality and accuracy
266,19,0,1,0,0,1,0,0,3,3,1,4,3,2,Customer service responsiveness
267,23,0,1,0,1,0,0,0,1,2,1,5,1,1,Shipping speed and reliability
268,23,0,1,0,1,1,0,0,3,3,1,2,3,3,Customer service responsiveness
269,34,1,0,0,1,0,0,1,4,2,3,3,1,3,Customer service responsiveness
270,34,0,1,0,0,1,0,0,4,3,1,3,1,4,Reducing packaging waste
271,34,0,1,0,0,0,0,1,2,3,1,3,1,4,Product quality and accuracy
272,23,0,0,1,1,0,0,0,3,3,1,2,3,3,Customer service responsiveness
273,45,0,1,0,0,1,0,0,4,1,2,3,2,3,Customer service responsiveness
274,23,0,1,0,0,0,1,0,4,3,3,2,1,1,Shipping speed and reliability
275,34,0,1,0,0,1,0,1,4,2,1,3,2,3,Customer service responsiveness
276,37,0,1,0,1,0,0,0,4,3,1,3,1,3,Reducing packaging waste
277,34,0,1,0,0,1,0,0,4,3,1,2,1,2,Customer service responsiveness
278,23,0,0,1,0,0,1,0,2,3,2,3,2,3,Customer service responsiveness
279,45,0,1,0,0,0,0,0,4,1,1,3,1,3,Reducing packaging waste
280,26,1,0,0,0,1,0,0,1,3,3,3,3,3,User interface 
281,34,0,1,0,1,1,0,0,3,3,1,2,1,4,Customer service responsiveness
282,21,0,0,1,1,1,0,0,4,3,3,3,1,5,Product quality and accuracy
283,23,0,0,1,0,1,0,1,3,3,2,4,2,3,Customer service responsiveness
284,41,1,0,0,1,1,1,1,5,4,1,3,3,4,Irrelevant product suggestions
285,32,0,1,0,1,1,0,0,3,3,2,3,1,3,Customer service responsiveness
286,23,0,1,0,1,0,0,0,4,3,2,4,2,3,Shipping speed and reliability
287,22,0,1,0,1,0,0,0,5,3,3,4,2,4,Product quality and accuracy
288,48,0,1,0,0,1,0,0,5,1,3,1,2,2,Shipping speed and reliability
289,32,1,0,0,0,0,1,0,3,3,3,3,2,3,Customer service responsiveness
290,28,0,0,1,1,0,0,0,3,2,2,3,1,3,Reducing packaging waste
291,23,0,1,0,1,0,0,0,4,3,3,3,2,3,Reducing packaging waste
292,23,0,1,0,1,0,0,0,3,3,1,3,2,3,Customer service responsiveness
293,26,0,1,0,0,1,0,0,5,3,2,4,2,3,Reducing packaging waste
294,34,0,1,0,1,0,0,0,5,3,2,4,2,3,Reducing packaging waste
295,23,0,1,0,1,0,0,0,5,3,2,3,2,3,Reducing packaging waste
296,22,0,1,0,0,1,0,0,4,2,2,3,2,3,Reducing packaging waste
297,32,0,0,1,0,1,0,0,2,3,2,3,2,4,Reducing packaging waste
298,47,0,1,0,0,1,0,0,2,4,1,3,2,3,Shipping speed and reliability
299,22,0,1,0,1,0,0,0,3,3,2,3,2,3,Reducing packaging waste
300,47,1,0,0,0,1,0,1,3,3,1,3,3,2,Product quality and accuracy
301,22,0,1,0,1,1,1,1,3,4,1,1,2,1,Customer service responsiveness
302,45,0,0,1,1,0,1,0,2,1,2,5,2,5,Product quality and accuracy
303,21,1,0,0,0,0,0,0,1,1,2,4,2,4,Shipping speed and reliability
304,27,0,0,1,1,1,0,0,3,2,1,2,3,2,Product quality and accuracy
305,37,1,0,0,0,0,1,1,1,3,2,2,2,1,Customer service responsiveness
306,33,0,1,0,1,1,1,1,5,2,1,2,1,2,Reducing packaging waste
307,22,0,0,1,1,0,0,0,4,2,1,2,1,3,Customer service responsiveness
308,25,1,0,0,0,1,0,1,3,4,1,3,1,3,Product quality and accuracy
309,28,0,1,0,1,1,1,1,3,4,3,1,3,1,Customer service responsiveness
310,17,0,0,1,0,1,0,1,3,1,1,5,2,5,Shipping speed and reliability
311,16,1,0,0,0,1,0,0,2,1,1,4,1,4,Customer service responsiveness
312,32,1,0,0,1,0,1,0,1,4,3,2,2,1,Customer service responsiveness
313,27,0,1,0,1,1,1,1,2,2,1,1,1,2,Product quality and accuracy
314,18,0,1,0,1,1,1,0,3,3,1,1,1,2,Shipping speed and reliability
315,37,1,0,0,0,0,0,0,1,1,1,4,3,4,Product quality and accuracy
316,28,1,0,0,0,1,0,0,2,3,3,2,2,3,Product quality and accuracy
317,48,0,1,0,1,0,0,0,1,1,2,3,3,2,Shipping speed and reliability
318,50,0,1,0,0,0,0,1,5,4,3,2,3,3,Product quality and accuracy
319,24,0,1,0,0,1,0,1,3,3,1,3,2,2,User interface of app
320,40,0,1,0,1,1,0,0,3,3,1,5,2,4,Product quality and accuracy
321,25,0,1,0,1,1,0,1,5,4,1,1,3,3,Reducing packaging waste
322,31,1,0,0,1,0,0,1,4,4,1,2,3,1,Product quality and accuracy
323,18,0,1,0,0,1,0,0,2,2,1,1,3,3,Shipping speed and reliability
324,26,0,1,0,1,0,0,0,4,2,3,1,3,1,Product quality and accuracy
325,16,0,1,0,0,1,0,1,1,2,1,1,2,3,Product quality and accuracy
326,18,1,0,0,1,1,0,0,4,4,2,3,1,2,Reducing packaging waste
327,40,1,0,0,0,0,0,1,1,3,1,2,1,2,Product quality and accuracy
328,19,0,1,0,1,1,0,0,3,4,3,1,3,1,Customer service responsiveness
329,16,0,0,1,1,1,1,1,3,3,2,2,1,1,Shipping speed and reliability
330,43,1,0,0,0,0,1,1,1,1,1,1,2,2,Customer service responsiveness
331,25,0,0,1,0,1,0,1,4,2,1,4,1,3,Reducing packaging waste
332,22,0,1,0,1,1,0,0,2,4,2,1,2,1,Product quality and accuracy
333,17,0,0,1,0,1,0,0,2,2,2,4,2,4,Customer service responsiveness
334,34,1,0,0,1,1,1,1,1,4,2,1,3,1,Customer service responsiveness
335,30,0,0,1,1,1,0,1,3,2,2,2,2,3,Reducing packaging waste
336,31,0,0,1,0,0,0,1,2,3,2,4,1,2,Reducing packaging waste
337,31,0,1,0,0,1,0,1,3,3,2,2,1,2,Shipping speed and reliability
